display_name,party_type,tin_display,country_code,transaction_code,email,address_full,buyer_document,buyer_document_number,buyer_idtku,seller_display_name,seller_internal_party_id__do_not_edit,internal_party_id__do_not_edit
SIMON ELEKTRIK INDONESIA,seller,715420659018000,IDN,4,,"JALAN GREEN LAKE CITY RUKAN CENTRAL NIAGA P NO.6, RT 007, RW 008, DURI KOSAMBI, CENGKARENG, KOTA ADM. JAKARTA BARAT, DKI JAKARTA 11750",TIN,,,,,615bbefd-4bff-4d14-8d60-1307d3c09ce7
CV. Global Putra Abadi,buyer,811086107541000,IDN,4,,"JL KYAI MOJO NO.14, RT 014, RW 004, BUMIJO, JETIS, KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA 55231 #0811086107541000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
CV. Berkat Anugrah,buyer,26024240904000,IDN,4,,"JL BY PASS NGURAH RAI A/8 NO.77, RT 000, RW 000, BENOA, KUTA SELATAN, KAB. BADUNG, BALI 80363 #0026024240904000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
CV. Bintang Teknik,buyer,19223700611000,IDN,4,,"JL JAGALAN NO.61, RT 000, RW 000, PENELEH, GENTENG, KOTA SURABAYA, JAWA TIMUR 60274 #0019223700611000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
PT. Berkat Elektrindo Sejahtera,buyer,932377641124000,IDN,4,,"GREEN PURI 6 JL KRESEK RAYA NO.26, RT 000, RW 000, DURI KOSAMBI, CENGKARENG, KOTA ADM. JAKARTA BARAT, DKI JAKARTA 11750 #0932377641124000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
PT. Masuta Optimum Nusantara,buyer,922584446006000,IDN,4,,"PERGUDANGAN GREEN SEDAYU BIZPARK BLOK GS 5 NO.27, JL. CAKUNG CILINCING TIMUR RAYA KM 02 , RT 000, RW 000, CAKUNG TIMUR, CAKUNG, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA 13910 #0922584446006000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
PT. Eka Daya Global Energi,buyer,33235300036000,IDN,4,,"KOMP. RUKO PERMATA KOTA JL PANGERAN TUBAGUS ANGKE O NO.6, RT 000, RW 000, PEJAGALAN, PENJARINGAN, KOTA ADM. JAKARTA UTARA, DKI JAKARTA 14450 #0033235300036000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
CV. Pipa Berkat Sejahtera,buyer,609855465903000,IDN,4,,"JL. BY PASS NGURAH RAI 750 , RT 000, RW 000, SIDAKARYA, DENPASAR SELATAN, KOTA DENPASAR, BALI 80224 #0609855465903000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
PT. Cakramerlindo Pratama,buyer,15949290503000,IDN,4,,"JL PURI ANJASMORO BLOK H-5 NO.10, RT 000, RW 000, TAWANGSARI, SEMARANG BARAT, KOTA SEMARANG, JAWA TENGAH 50144 #0015949290503000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
PT. Hikari Indo Sarana,buyer,20375895033000,IDN,4,,"JL KHM MANSYUR NO.141, RT 000, RW 000, DURI UTARA, TAMBORA, KOTA ADM. JAKARTA BARAT, DKI JAKARTA 11270 #0020375895033000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
PT. Mitra Cipta Semesta,buyer,739735884044000,IDN,4,,"JL.GUNUNG SAHARI RAYA NO.2, KOMPLEK MARINATAMA BLOK A NO.8 A, RT 000, RW 000, PADEMANGAN BARAT, PADEMANGAN, KOTA ADM. JAKARTA UTARA, DKI JAKARTA 14420 #0739735884044000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
PT. Megacahaya Dewata,buyer,23535313904000,IDN,4,,"JL. BY PASS NGURAH RAI NOMOR 223 B LANTAI II , RT 000, RW 000, SANUR, DENPASAR SELATAN, KOTA DENPASAR, BALI 80228 #0023535313904000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
PT. Klik Hiro Optima,buyer,712243336023000,IDN,4,,"JL. KWINI 8 NO.10, RT 004, RW 001, SENEN, SENEN, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA 10410 #0712243336023000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
PT. Chn Stars Indonesia,buyer,939827374037000,IDN,4,,"JL KAMAL RAYA NO.8B, RT 006, RW 002, TEGAL ALUR, KALIDERES, KOTA ADM. JAKARTA BARAT, DKI JAKARTA 11820 #0939827374037000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
PT. Panaglobal Elektrindo,buyer,317581544416000,IDN,4,,"PANGLIMA POLIM RAYA A/1 NO.32, RT 000, RW 000, PULO, KEBAYORAN BARU, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA 12160 #0317581544416000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
PT. Niaga Pura Indonesia,buyer,849873807086000,IDN,4,,"KOMPLEK GREEN VILLE AV NO.15B, RT 008, RW 014, DURI KEPA, KEBON JERUK, KOTA ADM. JAKARTA BARAT, DKI JAKARTA 11510 #0849873807086000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
CV. Sejahtera Sentosa,buyer,32382095615000,IDN,4,,"RUKO RUNGKUT MEGAH RAYA M-25 , RT 000, RW 000, KALIRUNGKUT, RUNGKUT, KOTA SURABAYA, JAWA TIMUR 60298 #0032382095615000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
PT. Panca Utama Asia,buyer,719074916041000,IDN,4,,"GRIYA SEJAHTERA L NO.59, RT 008, RW 020, SUNTER AGUNG, TANJUNG PRIOK, KOTA ADM. JAKARTA UTARA, DKI JAKARTA 14350 #0719074916041000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
PT. Fuji Building Material Trading,buyer,964300131086000,IDN,4,,"JALAN RAYA KARET KOTABUMI JALAN RAYA IRIGASI CISADANE BARAT NO.KAV 28, RT 003, RW 003, PERIUK, PERIUK, KOTA TANGERANG, BANTEN 15131 #0964300131086000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
PT. Mandiri Gunanindo Nusantara,buyer,860809664901000,IDN,4,,"KOMPLEK PERTOKOAN MARLBORO , RT 000, RW 000, PADANGSAMBIAN KELOD, DENPASAR BARAT, KOTA DENPASAR, BALI 80117 #0860809664901000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
CV. Sinar Niaga Elektrik,buyer,863829230124000,IDN,4,,"KOMPLEK MMTC JL WILLIEM ISKANDAR A NO.9-10, RT 000, RW 000, MEDAN ESTATE, PERCUT SEI TUAN, KAB. DELI SERDANG, SUMATERA UTARA 20371 #0863829230124000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
PT. Sukses Mentari Timur,buyer,22009831122000,IDN,4,,"JL LAMPUNG NO 4, SEI RENGAS I 0 NO.4, RT 000, RW 000, SEI RENGAS I, MEDAN KOTA, KOTA MEDAN, SUMATERA UTARA 20214 #0022009831122000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
PT. Signify Commercial Indonesia,buyer,10017564092000,IDN,4,,"GEDUNG PHILIPS JL BUNCIT RAYA KAV 99 , RT 000, RW 000, PEJATEN BARAT, PASAR MINGGU, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA 12510 #0010017564092000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,
PT. Fanah Jaya Maindo,buyer,18698795056000,IDN,4,,"KAWASAN INDUSTRI DELTA SILICON 3 JL PINANG BLOK F 16 NO.011A/B, RT 000, RW 000, CICAU, CIKARANG PUSAT, KAB. BEKASI, JAWA BARAT 17530 #0018698795056000000000",TIN,,,SIMON ELEKTRIK INDONESIA (715420659018000),615bbefd-4bff-4d14-8d60-1307d3c09ce7,